nome,email,documento,telefone,endereco,cidade,estado,cep,data_nascimento,profissao
Pedro Oliveira,pedro.oliveira@empresa.com,11122233344,11777665544,Rua Augusta 789,São Paulo,SP,01234890,1975-12-10,Advogado
Ana Costa,ana.costa@hotmail.com,55566677788,11666555444,Av. Atlântica 321,Belo Horizonte,MG,30123456,1988-05-25,Arquiteta
Carlos Ferreira,carlos.ferreira@yahoo.com,99988877766,11555444333,Rua XV de Novembro 654,Salvador,BA,40123456,1992-01-05,Designer
Luiza Pereira,luiza.pereira@outlook.com,33344455566,11444333222,Av. Boa Viagem 987,Recife,PE,50123456,1987-09-12,Professora
Ricardo Almeida,ricardo.almeida@empresa.com,77788899900,11333222111,Rua da Praia 147,Fortaleza,CE,60123456,1983-11-08,Contador
Fernanda Lima,fernanda.lima@gmail.com,22233344455,11222111000,Av. Beira Mar 258,Curitiba,PR,80123456,1995-04-18,Psicóloga
Roberto Souza,roberto.souza@email.com,66677788899,11111000999,Rua 7 de Setembro 369,Porto Alegre,RS,90123456,1980-06-30,Vendedor
Juliana Castro,juliana.castro@hotmail.com,44455566677,11000999888,Av. Goiás 741,Goiânia,GO,74123456,1993-02-14,Nutricionista
Marcos Barbosa,marcos.barbosa@empresa.com,88899900011,10999888777,Rua Dom Pedro II 852,Brasília,DF,70123456,1978-10-22,Advogado
Camila Rodrigues,camila.rodrigues@yahoo.com,11223344556,10888777666,Av. Afonso Pena 963,Campo Grande,MS,79123456,1986-08-07,Enfermeira
Diego Martins,diego.martins@gmail.com,55667788990,10777666555,Rua Marechal Floriano 159,Cuiabá,MT,78123456,1991-12-01,Engenheiro
Patrícia Gomes,patricia.gomes@outlook.com,99001122334,10666555444,Av. Presidente Vargas 357,Manaus,AM,69123456,1984-03-28,Jornalista
Gabriel Santos,gabriel.santos@email.com,33445566778,10555444333,Rua Barão do Rio Branco 468,Belém,PA,66123456,1989-07-16,Programador
Larissa Melo,larissa.melo@hotmail.com,77889900112,10444333222,Av. Sete de Setembro 579,São Luís,MA,65123456,1994-11-03,Farmacêutica
André Carvalho,andre.carvalho@empresa.com,22334455667,10333222111,Rua da Liberdade 680,Teresina,PI,64123456,1981-05-19,Administrador
Renata Silva,renata.silva@gmail.com,66778899001,10222111000,Av. João Pessoa 791,João Pessoa,PB,58123456,1987-09-25,Fisioterapeuta
Bruno Costa,bruno.costa@yahoo.com,44556677889,10111000999,Rua Padre Feijó 802,Maceió,AL,57123456,1992-01-11,Veterinário
Tatiana Alves,tatiana.alves@email.com,88990011223,10000999888,Av. Duque de Caxias 913,Aracaju,SE,49123456,1985-06-08,Dentista
Felipe Nascimento,felipe.nascimento@hotmail.com,12234455668,19999888777,Rua José Bonifácio 124,Vitória,ES,29123456,1990-04-22,Biomédico
Isabela Ribeiro,isabela.ribeiro@empresa.com,56678899002,19888777666,Av. Nossa Senhora da Penha 235,Florianópolis,SC,88123456,1988-12-15,Psicóloga
Thiago Mendes,thiago.mendes@gmail.com,90012233445,19777666555,Rua Coronel Durval 346,Natal,RN,59123456,1983-08-30,Educador Físico
Vanessa Cardoso,vanessa.cardoso@outlook.com,34455667789,19666555444,Av. Epitácio Pessoa 457,Palmas,TO,77123456,1995-02-17,Bióloga
Leonardo Vieira,leonardo.vieira@yahoo.com,78899001123,19555444333,Rua Tiradentes 568,Rio Branco,AC,69901234,1979-10-05,Geógrafo
Priscila Monteiro,priscila.monteiro@email.com,23344556678,19444333222,Av. Getúlio Vargas 679,Boa Vista,RR,69301234,1991-06-21,Pedagoga
Rodrigo Ferraz,rodrigo.ferraz@hotmail.com,67788990012,19333222111,Rua Joaquim Nabuco 780,Macapá,AP,68901234,1986-03-12,Economista
Marina Teixeira,marina.teixeira@empresa.com,12345678902,19222111000,Av. Brasil 891,Porto Velho,RO,76801234,1993-11-26,Advogada
Gustavo Pinto,gustavo.pinto@gmail.com,56789012345,19111000999,Rua General Osório 902,São Paulo,SP,01234568,1982-07-18,Engenheiro
Carolina Freitas,carolina.freitas@yahoo.com,90123456789,19000999888,Av. Faria Lima 113,São Paulo,SP,01234569,1989-01-04,Analista
Eduardo Ramos,eduardo.ramos@email.com,34567890123,18999888777,Rua Consolação 224,São Paulo,SP,01234570,1994-09-09,Desenvolvedor
Beatriz Campos,beatriz.campos@hotmail.com,78901234567,18888777666,Av. Rebouças 335,São Paulo,SP,01234571,1987-05-03,Marketing
Lucas Moreira,lucas.moreira@empresa.com,23456789012,18777666555,Rua Oscar Freire 446,São Paulo,SP,01234572,1981-12-27,Vendas
Natália Dias,natalia.dias@gmail.com,67890123456,18666555444,Av. Ibirapuera 557,São Paulo,SP,01234573,1990-08-14,Recursos Humanos
Alexandre Cruz,alexandre.cruz@outlook.com,12378945601,18555444333,Rua Aclimação 668,São Paulo,SP,01234574,1985-04-20,Analista de Sistemas
Lívia Machado,livia.machado@yahoo.com,56712389045,18444333222,Av. Liberdade 779,São Paulo,SP,01234575,1992-10-31,Publicitária
Fábio Correia,fabio.correia@email.com,90134567812,18333222111,Rua Bela Vista 880,São Paulo,SP,01234576,1988-02-06,Consultor
Amanda Torres,amanda.torres@hotmail.com,34578901236,18222111000,Av. Vila Madalena 991,São Paulo,SP,01234577,1995-07-23,Terapeuta
